swim,bike,run
16.5347,47.3821,36.0832
22.2730,47.7211,30.0059
21.4204,48.2960,30.2836
22.7960,53.0601,24.1439
16.4319,53.4137,30.1544
21.0533,50.0244,28.9223
23.0081,47.3635,29.6283
16.1797,51.6341,32.1862
18.9542,49.1672,31.8786
18.0042,52.0974,29.8984
20.2498,48.2223,31.5280
20.7904,49.2057,30.0038
19.6830,49.8627,30.4543
18.0328,50.8445,31.1227
23.3446,45.0563,31.5991
23.9157,43.3840,32.7004
22.7373,49.2193,28.0434
22.8860,46.7458,30.3682
19.8168,47.9600,32.2231
18.6566,50.6511,30.6923
16.5025,52.5300,30.9675
21.2002,46.8409,31.9589
19.3334,49.9937,30.6728
20.5647,50.2281,29.2072
20.6595,47.4345,31.9060
16.4529,52.0480,31.4991
17.9336,53.8760,28.1904
20.2091,51.4808,28.3101
16.4224,52.8106,30.7670
22.0897,48.1909,29.7195
23.7977,47.7324,28.4700
20.4177,49.2138,30.3686
25.1045,43.6589,31.2366
21.5188,48.1685,30.3127
19.1178,49.3743,31.5079
21.0766,47.4501,31.4733
18.9608,47.5252,33.5139
18.1818,52.5347,29.2835
20.7302,50.2162,29.0536
19.5154,47.2905,33.1941
16.3474,47.3597,36.2929
19.1627,50.8848,29.9525
17.9977,50.9934,31.0090
19.4651,50.4371,30.0978
18.0194,49.8252,32.1553
17.4139,47.7955,34.7907
19.8954,48.2975,31.8071
17.9230,51.3829,30.6941
20.5833,48.6724,30.7443
20.7103,48.5368,30.7529
22.1061,48.3933,29.5006
21.9726,47.4965,30.5308
21.1299,47.9667,30.9034
16.0205,50.4031,33.5765
19.6674,49.5124,30.8202
17.4185,50.1594,32.4222
21.1261,48.8716,30.0023
18.3959,52.5244,29.0797
19.3881,50.0446,30.5672
19.7727,46.7649,33.4624
21.5791,48.4879,29.9331
14.5202,52.8153,32.6645
22.9512,47.1933,29.8555
17.0706,50.4887,32.4408
19.4181,50.5661,30.0158
20.2317,50.7095,29.0587
19.4441,51.0183,29.5376
18.1136,49.1928,32.6935
18.6206,48.9648,32.4146
20.0887,50.0950,29.8163
21.7140,47.4121,30.8739
22.9534,48.0485,28.9981
17.0533,51.4584,31.4883
19.6922,51.6575,28.6504
19.4030,50.1391,30.4579
22.2546,48.9796,28.7658
18.9192,47.3588,33.7219
19.9436,51.0101,29.0463
19.4066,48.9494,31.6440
21.1758,47.0778,31.7464
16.9764,49.6158,33.4079
17.0665,51.9426,30.9909
17.8585,50.5181,31.6234
19.2755,49.0568,31.6677
20.6028,49.4418,29.9553
21.7343,48.9857,29.2801
22.1538,48.5943,29.2519
22.5011,44.5820,32.9169
19.8554,45.6730,34.4716
19.1176,47.0026,33.8797
14.3341,61.1294,24.5365
19.2252,51.7652,29.0097
19.7747,48.5738,31.6515
20.2284,50.8167,28.9549
18.1462,46.7052,35.1487
21.0347,49.6324,29.3330
18.7306,48.7368,32.5327
21.0526,47.0944,31.8530
19.8152,50.4294,29.7554
18.6714,52.9150,28.4136
18.7936,48.9292,32.2773
20.6280,49.0180,30.3540
26.5669,45.5287,27.9043
22.7638,44.4985,32.7378
20.8128,47.3242,31.8630
20.3417,49.1519,30.5064
21.5218,47.6405,30.8377
21.7566,48.0581,30.1853
24.3440,48.5704,27.0855
24.5832,45.5522,29.8646
18.2262,49.4247,32.3491
18.9231,51.2941,29.7828
17.9471,50.6711,31.3818
17.7053,50.5956,31.6991
18.3151,51.2502,30.4348
22.5375,48.3335,29.1290
19.3648,48.7135,31.9217
24.9643,44.7331,30.3027
21.1625,46.0505,32.7871
20.7421,49.5259,29.7319
19.5233,48.4026,32.0740
17.5397,50.5813,31.8790
20.2888,46.1988,33.5124
19.3586,49.1983,31.4431
23.2964,48.0857,28.6179
19.2754,48.4058,32.3188
19.4498,50.2273,30.3230
19.6729,48.0140,32.3131
20.6997,46.5966,32.7037
21.8165,48.2926,29.8909
23.9845,46.6698,29.3457
20.8973,49.5932,29.5095
19.9177,49.7381,30.3442
17.2938,51.7635,30.9427
21.7574,48.4083,29.8343
21.0633,48.2936,30.6430
19.9364,47.9793,32.0844
22.9829,45.9218,31.0952
15.9123,52.8220,31.2657
19.1368,50.9501,29.9131
15.4039,52.8115,31.7846
19.3223,49.6860,30.9916
17.5461,47.0022,35.4517
19.0419,50.7159,30.2422
19.2593,51.0600,29.6807
20.1210,48.6792,31.1998
